,user.name,created_at,id,full_text,display_text_range,source,retweet_count,favorite_count,user.followers_count,user.friends_count,user.statuses_count,partido,tipo de post,hashtags
1077,PODEMOS,2021-02-25 15:02:55+00:00,1364954033547526145,"📽️ @PabloIglesias: ""Nadie, ninguna formación política con representación parlamentaria, salvo una, defiende y practica la violencia callejera, y esta fuerza es VOX"".

 ▶️ https://t.co/u2RGnivrUv https://t.co/RluDMVFSxq","[0, 194]",['Twitter Media Studio'],297,681,1527308,22537,119337,PODEMOS,publicación,[]
1078,PODEMOS,2021-02-25 14:57:48+00:00,1364952744684122119,"📽️ @PabloIglesias: ""Es evidente que hay sectores con muchísimo poder dentro del estado y, sobre todo, dentro de las grandes estructuras económicas a los que no les gusta la democracia"".

 ▶️ https://t.co/u2RGnivrUv https://t.co/Yxb6G3fVGv","[0, 214]",['Twitter Media Studio'],124,198,1527308,22537,119337,PODEMOS,publicación,[]
1079,PODEMOS,2021-02-25 14:51:50+00:00,1364951243500756994,"📽 @PabloIglesias: ""En este país la derecha tiene un problema con la democracia"".  👇

▶️ https://t.co/u2RGnivrUv https://t.co/f5x8VjJsT9","[0, 111]",['Twitter Media Studio'],125,229,1527308,22537,119337,PODEMOS,publicación,[]
1080,PODEMOS,2021-02-25 14:51:10+00:00,1364951075787313160,"📽️ @PabloIglesias: ""El hecho de que la fuerza minoritaria del Gobierno sea mucho más atacada por la derecha mediática que la fuerza mayoritaria es la prueba inequívoca de que claro que merece la pena"".

 ▶️ https://t.co/u2RGnivrUv https://t.co/wByLOuWvXA","[0, 230]",['Twitter Media Studio'],134,223,1527308,22537,119337,PODEMOS,publicación,[]
1081,PODEMOS,2021-02-25 14:44:41+00:00,1364949443922059266,"📽 @PabloIglesias: ""Nosotros hemos intentado cambiar algunas cosas desde dentro, y creo que las estamos cambiando. Prueba de ello son las ganas que tiene la derecha de que salgamos del Gobierno"".

▶️ https://t.co/u2RGnivrUv https://t.co/Gf2XrW8oBF","[0, 222]",['Twitter Media Studio'],188,329,1527308,22537,119337,PODEMOS,publicación,[]
1082,PODEMOS,2021-02-25 14:40:48+00:00,1364948464484892675,"📽 @PabloIglesias: ""Nosotros hemos sido víctima de espionaje, se nos han presentado todo tipo de demandas y querella, luego todas archivadas, pero eso no importa, porque mediáticamente ya se ha generado un efecto criminalizador"".

https://t.co/u2RGnivrUv https://t.co/fAARVHfexI","[0, 253]",['Twitter Media Studio'],144,233,1527308,22537,119337,PODEMOS,publicación,[]
1083,PODEMOS,2021-02-25 14:35:22+00:00,1364947099440283649,"¿Veremos pronto a @PabloIglesias en Twitch?

 ▶️ https://t.co/u2RGnivrUv https://t.co/FZjSHZntY0","[0, 72]",['Twitter Media Studio'],80,187,1527308,22537,119337,PODEMOS,publicación,[]
1084,PODEMOS,2021-02-25 14:30:30+00:00,1364945873759834115,"📽️ @PabloIglesias: ""La pandemia ha abierto un debate sobre el enorme poder de las farmacéuticas y en muchos sitios se está hablando de qué interesante sería que los estados tuvieran capacidad propia para atender todas las necesidades de salud pública"".

▶️ https://t.co/u2RGnivrUv https://t.co/kFOzO1XDiR","[0, 280]",['Twitter Media Studio'],165,360,1527308,22537,119337,PODEMOS,publicación,[]
1085,PODEMOS,2021-02-25 14:27:59+00:00,1364945240436731910,"📽 @PabloIglesias: ""La relación del Gobierno se fundamenta en el acuerdo de coalición y en una correlación parlamentaria que determinó que ahora los Gobiernos tienen que ser de coalición"".

Síguelo en directo en 👉 https://t.co/u2RGnivrUv https://t.co/UMHj3ZozDi","[0, 236]",['Twitter Media Studio'],91,166,1527308,22537,119337,PODEMOS,publicación,[]
1086,PODEMOS,2021-02-25 14:18:12+00:00,1364942778103451649,"📽️ @PabloIglesias: ""¿Si el sueldo de un periodista depende de un banco ese periodista es libre para escribir lo que quiera? Difícilmente. Para lo que tiene que estar el sector público es precisamente para garantizar las condiciones de libertad"".

👉 https://t.co/u2RGnivrUv https://t.co/5uPRcsuOPE","[0, 272]",['Twitter Media Studio'],238,459,1527308,22537,119337,PODEMOS,publicación,[]
1087,PODEMOS,2021-02-25 14:17:13+00:00,1364942532812111876,"📽 @PabloIglesias: ""Los jefes de Mediaset o Atresmedia tienen mucho más poder que cualquier diputado, y que todo ese poder esté en manos privadas no es saludable en términos democráticos"".

Síguelo en directo en 👉 https://t.co/u2RGnivrUv https://t.co/gPSvqSTp6H","[0, 236]",['Twitter Media Studio'],328,636,1527308,22537,119337,PODEMOS,publicación,[]
1088,PODEMOS,2021-02-25 14:11:46+00:00,1364941160008060932,"Es así de sencillo 👇

📽️ @PabloIglesias en @FurorTelevision 

🔴 EN DIRECTO: https://t.co/u2RGnivrUv https://t.co/tFtQFajnmi","[0, 99]",['Twitter Media Studio'],97,155,1527308,22537,119337,PODEMOS,publicación,[]
1089,PODEMOS,2021-02-25 14:09:15+00:00,1364940524587798530,"📽 @PabloIglesias: ""Los ataques de los que somos objeto están teniendo como consecuencia que haya millones de ciudadanos que asumen que la mentira para hacer política contra Unidas Podemos forma parte de la parrilla televisiva"".

Síguelo en directo en 👉 https://t.co/u2RGnivrUv https://t.co/ng4y7BK7w2","[0, 276]",['Twitter Media Studio'],206,331,1527308,22537,119337,PODEMOS,publicación,[]
1090,PODEMOS,2021-02-25 13:54:39+00:00,1364936851950305281,"‼️ Ya ha comenzado la entrevista a @PabloIglesias en el canal de Twitch de @FurorTelevision sobre el papel de los poderes mediáticos en la democracia.

Síguelo en directo en 👉 https://t.co/u2RGnivrUv https://t.co/eq8WNScMzq","[0, 199]",['Twitter Media Studio'],93,173,1527308,22537,119337,PODEMOS,publicación,[]
1091,PODEMOS,2021-02-25 13:10:52+00:00,1364925833392095232,"🔴 En unos minutos dará comienzo en directo la entrevista de @PabloIglesias en @FurorTelevision sobre el papel de los poderes mediáticos en la democracia.

Podrás seguirla en 👉 https://t.co/u2RGnivrUv https://t.co/sptmdC65nU","[0, 199]",['Twitter Media Studio'],86,263,1527308,22537,119337,PODEMOS,publicación,[]
1092,PODEMOS,2021-02-25 11:58:48+00:00,1364907699029368835,"📽 @PabloEchenique: “Respecto a la Ley de Vivienda que se está negociando en el seno del Gobierno: no solo se trata de cumplir lo firmado, también se trata de cumplir con la Constitución española y con las necesidades sociales de la gente”. https://t.co/Q17Sbb7g8q","[0, 239]",['Twitter Media Studio'],201,460,1527308,22537,119337,PODEMOS,publicación,[]
1093,PODEMOS,2021-02-25 11:13:34+00:00,1364896315507953668,"Esta mañana hemos sumado nuestra firma a la 'Iniciativa por una Ley que garantice el Derecho a la Vivienda', promovida por movimientos de vivienda, sindicatos laborales, mareas, pensionistas, ONG y decenas de organizaciones. https://t.co/R3X6QXJlGa","[0, 224]",['Twitter Web App'],416,898,1527308,22537,119337,PODEMOS,publicación,[]
1094,PODEMOS,2021-02-25 10:24:00+00:00,1364883839147999234,📽 @ionebelarra: “Lo que está en juego con la Ley de Vivienda es el modelo de sociedad que estamos construyendo: un modelo que ve la vivienda como un bien de mercado o un modelo que lo considere un derecho humano”. https://t.co/6pyKHgAkon,"[0, 213]",['Twitter Media Studio'],229,459,1527308,22537,119337,PODEMOS,publicación,[]
1095,PODEMOS,2021-02-25 09:24:13+00:00,1364868795555315712,"“El PSOE no puede seguir saltándose las líneas rojas, porque no solo está incumpliendo el acuerdo que firmó con nosotros, sino el que firmó con la ciudadanía.

Es una cuestión de necesidad”.

✍️ Entrevista a @Alber_Canarias en @ElSaltoDiario 👇

https://t.co/71BhHxglTJ","[0, 268]",['Twitter Web App'],302,614,1527308,22537,119337,PODEMOS,publicación,[]
1096,PODEMOS,2021-02-24 18:51:09+00:00,1364649080002076681,"""La norma es mala por regular solamente la violencia contra las mujeres, y plantea serias dudas de constitucionalidad"".

Estas palabras las pronunció Enrique López, consejero de justicia del PP y negociador de Casado, sobre la ley de violencia de género de 2004. https://t.co/oED1jhCXyb","[0, 262]",['Twitter Media Studio'],181,363,1527308,22537,119337,PODEMOS,publicación,[]
1097,PODEMOS,2021-02-24 18:22:54+00:00,1364641973202788355,"Irene Montero le explica al PP todas las medidas que ha logrado el @IgualdadGob en un año atravesado por la pandemia. El PP no apoyó ni una de ellas.

""¿Dónde están ustedes, con el feminismo o con VOX?"".

📽️ @IreneMontero https://t.co/4sbDReYnmo","[0, 221]",['Twitter Media Studio'],441,909,1527308,22537,119337,PODEMOS,publicación,[]
1098,PODEMOS,2021-02-24 18:03:55+00:00,1364637194107957253,"💬 ""Hay una estructura económica que penaliza a las mujeres, que es injusta, y que se agrava con las crisis económicas. No son casos aislados, se llama patriarcado"".

📽️ @IreneMontero https://t.co/7xPqX0ySE5","[0, 182]",['Twitter Media Studio'],195,428,1527308,22537,119337,PODEMOS,publicación,[]
1099,PODEMOS,2021-02-24 17:44:28+00:00,1364632299145469958,REAL https://t.co/hddFBvgPBH,"[0, 4]",['Twitter for Android'],80,247,1527308,22537,119337,PODEMOS,publicación,[]
1100,PODEMOS,2021-02-24 17:33:47+00:00,1364629609795493891,"Esto se tendría que hacer más. Retratar la mala educación de la derecha de este país.

No les importa desprestigiar con su griterío el trabajo que se desempeña en el Congreso porque sus amos hacen política sin necesidad de presentarse a las elecciones ni rendir cuentas a nadie. https://t.co/GCuotESRZY","[0, 278]",['Twitter Media Studio'],359,777,1527308,22537,119337,PODEMOS,publicación,[]
1101,PODEMOS,2021-02-24 16:59:06+00:00,1364620882249940994,"Aún están asimilando la que les ha caído durante este BAÑO DE REALIDAD 💦
https://t.co/SBsC6W9c6W","[0, 96]",['TweetDeck'],297,607,1527308,22537,119337,PODEMOS,publicación,[]
1102,PODEMOS,2021-02-24 16:23:05+00:00,1364611820527452160,"Su mano derecha ahora es el líder de VOX y la CM de su perro es presidenta de la Comunidad de Madrid. 

Aprendieron de la mejor. https://t.co/0DOZMpKCCB","[0, 128]",['Twitter Media Studio'],565,1157,1527308,22537,119337,PODEMOS,publicación,[]
1103,PODEMOS,2021-02-24 15:05:45+00:00,1364592356838752256,"""Ciudadanos apostó por el doble o nada y resultó NADA"".

📽️ @PabloIglesias https://t.co/QQAU3EyS3N","[0, 74]",['Twitter Media Studio'],718,2186,1527308,22537,119337,PODEMOS,publicación,[]
1104,PODEMOS,2021-02-24 14:55:21+00:00,1364589738150285317,Solo hay una fuerza política con representación parlamentaria que hace apología del terrorismo: VOX. 👇 https://t.co/9BA163wR64,"[0, 102]",['Twitter Media Studio'],1442,3679,1527308,22537,119337,PODEMOS,publicación,[]
1105,PODEMOS,2021-02-24 14:46:52+00:00,1364587605065691140,Pablo Iglesias le da un baño de realidad a Don Teodoro. 👇 https://t.co/iUFsGx28Y4,"[0, 57]",['Twitter Media Studio'],1278,3186,1527308,22537,119337,PODEMOS,publicación,[]
1106,PODEMOS,2021-02-24 13:27:30+00:00,1364567630946979841,"‼️ Mañana a las 14:20 @PabloIglesias será entrevistado por @GregoriMarugan en el canal de Twitch de @FurorTelevision.

Esta será la primera vez que un miembro en activo del Gobierno de España participa en Twitch. ¡No te lo pierdas! 

Podrás seguirlo en 👉 https://t.co/u2RGnivrUv https://t.co/iOaGgOztvr","[0, 278]",['Twitter Media Studio'],213,425,1527308,22537,119337,PODEMOS,publicación,[]
1107,PODEMOS,2021-02-24 11:43:51+00:00,1364541546784243712,"Ya hemos perdido la cuenta de cuántas van 🤦‍♀️

Por enésima vez, todas las acusaciones falsas contra nosotros quedan en nada. 

Esperamos que tras horas y horas de calumnias, a los voceros de las mentiras y las difamaciones, no se les olvide contarlo.

https://t.co/CQDZq4Phv1","[0, 276]",['Twitter Web App'],1255,2368,1527308,22537,119337,PODEMOS,publicación,[]
1108,PODEMOS,2021-02-24 10:36:13+00:00,1364524525065560068,"📽️ @PabloEchenique: ""Por muchas tertulias agresivas que nos dediquen en la radio y en la televisión, señor presidente, de ese debate es de donde surgirán los avances y las medidas. Tener diferentes posiciones, debatir y llegar a acuerdos: eso sí que es normalidad democrática"". https://t.co/KXELwKxbCM","[0, 277]",['Twitter Media Studio'],226,469,1527308,22537,119337,PODEMOS,publicación,[]
1109,PODEMOS,2021-02-24 10:29:47+00:00,1364522906731085828,"📽️ @PabloEchenique: ""Habrá quien nos intente convencer de que es terrible debatir en democracia. No me cabe duda. Me despierto todos los días con la Cadena Ser. Pero sabemos que el resultado de este debate será que más españoles humildes puedan poner comida en el plato"". https://t.co/KEfj1JP1qB","[0, 271]",['Twitter Media Studio'],199,408,1527308,22537,119337,PODEMOS,publicación,[]
1110,PODEMOS,2021-02-24 10:28:02+00:00,1364522467096682496,"📽 @PabloEchenique: “Parte del descontento y la indignación que estamos viendo, emanan de la desesperanza entre nuestra juventud, que se enfrenta a la precariedad y la ausencia de perspectivas. 

Los jóvenes son el futuro, y las instituciones no pueden seguir dejándolos tirados“. https://t.co/KSDnflKUfR","[0, 279]",['Twitter Media Studio'],133,296,1527308,22537,119337,PODEMOS,publicación,[]
1111,PODEMOS,2021-02-24 10:23:50+00:00,1364521409427472384,"📽 @PabloEchenique: “Usar palabras negativas para referirse a las normales diferencias en un Gobierno de coalición solo sirve para estigmatizar las diferencias y el debate. 

Pero sin diferencias y sin debate no hay democracia“. https://t.co/elvzPdRYPu","[0, 227]",['Twitter Media Studio'],107,231,1527308,22537,119337,PODEMOS,publicación,[]
1112,PODEMOS,2021-02-24 10:15:55+00:00,1364519419607715840,"📽 @PabloEchenique: “No me cabe duda de que si las Comunidades Autónomas no eliminan las restricciones demasiado rápido, si proseguimos el plan de vacunación y seguimos mejorando en detección y rastreo, vamos a derrotar a esta epidemia“. https://t.co/DK2ac8BP5G","[0, 236]",['Twitter Media Studio'],69,149,1527308,22537,119337,PODEMOS,publicación,[]
1113,PODEMOS,2021-02-24 10:11:53+00:00,1364518403051048963,"📽 @PabloEchenique: “La lógica de 'salvar el verano' o 'salvar la navidad' no solo es perversa, porque transmite a la ciudadanía la falsa obligación de elegir en una suerte de chantaje, sino que tampoco funciona. Tras dos nuevas olas esto es más que evidente“. https://t.co/pvg4x5QNtL","[0, 259]",['Twitter Media Studio'],148,275,1527308,22537,119337,PODEMOS,publicación,[]
1114,PODEMOS,2021-02-24 10:02:44+00:00,1364516099128250369,"📽 @PabloEchenique: “España ha suministrado más dosis de la vacuna por habitante que Francia, Alemania o Italia. Esto habla muy bien del trabajo del Gobierno de coalición y de la fortaleza de nuestra sanidad pública. Debemos sentirnos orgullosos“. https://t.co/24BJi7XTYV","[0, 246]",['Twitter Media Studio'],239,631,1527308,22537,119337,PODEMOS,publicación,[]
1115,PODEMOS,2021-02-24 09:01:00+00:00,1364500564030066695,Se dicen patriotas pero son los primeros en desangrar lo público para beneficiarse. 😡 https://t.co/p56Ugm2baS,"[0, 85]",['Twitter Media Studio'],954,1601,1527308,22537,119337,PODEMOS,publicación,[]
1116,PODEMOS,2021-02-24 08:16:16+00:00,1364489308451840000,"📻 @isaserras: “Este Gobierno es lo mejor que le puede pasar a este país, por eso hay que cuidarlo, y por eso no entendemos la decisión del PSOE de incumplir el acuerdo respecto a la bajada de los precios del alquiler. Garantizar el derecho a la vivienda debería ser prioridad”. https://t.co/XCcom1Ywu0","[0, 277]",['Twitter Media Studio'],156,335,1527308,22537,119337,PODEMOS,publicación,[]
1117,PODEMOS,2021-02-23 20:58:29+00:00,1364318737906753536,"""Que el tuit de Echenique se vea como algo que alienta la violencia me demuestra que decir que defiendes a las personas que se están movilizando por la libertad de expresión, que es lo que decía el tuit, es igual que alentar la violencia"".

📻 @isaserras en Cadena Ser. https://t.co/kvKMHvcruK","[0, 268]",['Twitter Media Studio'],189,389,1527308,22537,119337,PODEMOS,publicación,[]
