,user.name,created_at,id,full_text,display_text_range,source,retweet_count,favorite_count,user.followers_count,user.friends_count,user.statuses_count,entities.hashtags,entities.urls,partido,tipo de post
31,VOX 🇪🇸,Tue Apr 13 17:47:34 +0000 2021,1382027698906742785,"Con VOX, los españoles no volverán a ser los últimos.

Ni en la Comunidad de Madrid, ni el resto de España.

#ProtegeMadrid 💪🇪🇸 https://t.co/QHqbz8UlJJ","[0, 127]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1130,2322,438432,1259,55574,"[{'text': 'ProtegeMadrid', 'indices': [109, 123]}]",[],PSOE,publicación
32,VOX 🇪🇸,Tue Apr 13 16:38:54 +0000 2021,1382010414763028485,"✅ VOX evitará que la izquierda asalte Madrid el 4 de mayo. 

🔍 Ayúdanos a entrar con fuerza en la Asamblea de Madrid para lograrlo. Sé apoderado de VOX para ser nuestros ojos durante la jornada electoral.

📲 Enlace para registrarte: https://t.co/MWNJG5MiGb 

 🔃 ¡Difunde!","[0, 271]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",696,1098,438432,1259,55574,[],"[{'url': 'https://t.co/MWNJG5MiGb', 'expanded_url': 'https://www.voxespana.es/noticias/hazte-apoderado-de-vox-protege-madrid-20210408', 'display_url': 'voxespana.es/noticias/hazte…', 'indices': [233, 256]}]",PSOE,publicación
33,VOX 🇪🇸,Tue Apr 13 16:29:55 +0000 2021,1382008157245997058,"📺 Este miércoles a las 9:45, @monasterioR es entrevistada por Ana Rosa en @telecincoes. 

➡️ Síguelo aquí en directo: https://t.co/F0GK7Vc0lX 

¡No te lo pierdas! https://t.co/Bf4pUdAyIq","[0, 162]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",495,909,438432,1259,55574,[],"[{'url': 'https://t.co/F0GK7Vc0lX', 'expanded_url': 'https://www.telecinco.es/endirecto/', 'display_url': 'telecinco.es/endirecto/', 'indices': [118, 141]}]",PSOE,publicación
34,VOX 🇪🇸,Tue Apr 13 11:02:25 +0000 2021,1381925737536626688,"📻 Entrevista a @monasterioR en @eslamananadeFJL ⤵️

""Podemos tiene que ser ilegalizado, está amparando el terrorismo"".

""A Pablo Iglesias hay que mandarle al exilio con Maduro"".

https://t.co/V45ECj0M2O","[0, 202]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",329,749,438432,1259,55574,[],"[{'url': 'https://t.co/V45ECj0M2O', 'expanded_url': 'https://www.libertaddigital.com/espana/2021-04-13/elecciones-madrid-2021-rocio-monasterio-podemos-tiene-que-ser-ilegalizado-esta-amparando-el-terrorismo-6744873/', 'display_url': 'libertaddigital.com/espana/2021-04…', 'indices': [179, 202]}]",PSOE,publicación
35,VOX 🇪🇸,Tue Apr 13 10:17:08 +0000 2021,1381914340325003265,"📰 Entrevista a @Santi_ABASCAL en @gaceta_es 

""Ningún partido recibe tanto apoyo y cariño en las calles como VOX"".

https://t.co/tKb7unZTav","[0, 139]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",852,2320,438432,1259,55574,[],"[{'url': 'https://t.co/tKb7unZTav', 'expanded_url': 'https://gaceta.es/actualidad/ningun-partido-recibe-tanto-apoyo-y-carino-en-las-calles-como-vox-20210413-0923/', 'display_url': 'gaceta.es/actualidad/nin…', 'indices': [116, 139]}]",PSOE,publicación
36,VOX 🇪🇸,Tue Apr 13 08:40:29 +0000 2021,1381890018013278208,"📰 Entrevista a @Santi_ABASCAL en @gaceta_es 

""Ningún partido recibe tanto apoyo y cariño en las calles como VOX"".

⬇️ HILO ⬇️

https://t.co/tKb7unZTav","[0, 151]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",800,2011,438432,1259,55574,[],"[{'url': 'https://t.co/tKb7unZTav', 'expanded_url': 'https://gaceta.es/actualidad/ningun-partido-recibe-tanto-apoyo-y-carino-en-las-calles-como-vox-20210413-0923/', 'display_url': 'gaceta.es/actualidad/nin…', 'indices': [128, 151]}]",PSOE,publicación
37,VOX 🇪🇸,Mon Apr 12 20:37:18 +0000 2021,1381708026164473856,"El 4 de mayo los madrileños lograrán que Pablo Iglesias se tenga que ir de la política con el rabo entre las piernas. 

💪🇪🇸 https://t.co/q93Rfa77fF","[0, 123]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1111,3259,438432,1259,55574,[],[],PSOE,publicación
38,VOX 🇪🇸,Mon Apr 12 20:07:26 +0000 2021,1381700507098562561,"‼️ @Santi_ABASCAL en San Agustín de Guadalix: 

""No hay punto intermedio ni equidistancia posible entre el Gobierno apoyado por comunistas, separatistas y terroristas, y los que defendemos la legalidad constitucional y la unidad de nuestra Patria"".

⬇️⬇️⬇️ https://t.co/r8k9XkDftG","[0, 256]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",354,730,438432,1259,55574,[],"[{'url': 'https://t.co/r8k9XkDftG', 'expanded_url': 'https://twitter.com/Santi_ABASCAL/status/1381678379733254145', 'display_url': 'twitter.com/Santi_ABASCAL/…', 'indices': [257, 280]}]",PSOE,publicación
39,VOX 🇪🇸,Mon Apr 12 19:05:01 +0000 2021,1381684800256409605,"📻 Este martes a las 9:20, @monasterioR con Federico Jiménez Losantos en @esRadio.

📡 Síguelo aquí en directo: https://t.co/vjEQNYmP0A

¡No te lo pierdas! https://t.co/yvYDhohvDv","[0, 153]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",418,797,438432,1259,55574,[],"[{'url': 'https://t.co/vjEQNYmP0A', 'expanded_url': 'https://esradio.libertaddigital.com/directo.html', 'display_url': 'esradio.libertaddigital.com/directo.html', 'indices': [110, 133]}]",PSOE,publicación
40,VOX 🇪🇸,Mon Apr 12 18:53:58 +0000 2021,1381682018740797442,"Próximos actos ⤵️

📍 Martes 13 a las 13:00 con @monasterioR y @Ortega_Smith en Pinto.

📍 Miércoles 14 a las 19:30 con @monasterioR y @Santi_ABASCAL en Debod.

📍 Jueves 15 a las 13:00 con @monasterioR y @Santi_ABASCAL en Colmenar de Oreja y 19:30 en Leganés.

#ProtegeMadrid💪🇪🇸 https://t.co/dsbhv7TRs9","[0, 276]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",539,1028,438432,1259,55574,"[{'text': 'ProtegeMadrid', 'indices': [259, 273]}]",[],PSOE,publicación
