,Unnamed: 0,user.name,created_at,id,full_text,display_text_range,source,retweet_count,favorite_count,user.followers_count,user.friends_count,user.statuses_count,entities.hashtags,entities.urls,partido,tipo de post
874,74,Argentina,2021-04-17 11:03:50+00:00,1383375643807682563,"@marioraulnegri Seamos realistas. Vacunas no hay suficientes. Podemos seguir criticando, quejándonos, manifestando pero el virus se sigue expandiendo. ¿Alguno de uds puede dar la solución para disminuir la circulación y bajar los contagios?","[16, 240]",['Twitter Web App'],0,0,272,295,25116,[],[],PODEMOS,mención
875,75,mariana,2021-04-17 11:03:49+00:00,1383375642079555584,"@leoperiodista buen día, mi papa es paciente oncológico, necesitamos Capecitabina 500mg para sus químios, en el HULA y Seguro Social no tiene este medicamento... si alguien lo tiene o sabe donde lo podemos conseguir agradecería la información https://t.co/nszR8r1BH9","[0, 242]",['Twitter for Android'],0,0,704,1552,12996,[],[],PODEMOS,mención
876,76,Carabel el malvado,2021-04-17 11:03:47+00:00,1383375634542387207,"@PODEMOS @agarzon Voté ilusionada a Carmena, por un Madrid mejor (amo Madrid, soy de los pocos que puede decir que tiene 3 generaciones nacidas aquí) su gestión un desastre, apoyada por Vds., creó Madrid para ricos, que podían pagar un parking en el centro o tener dos coches. ¿igualdad? Decepción","[18, 297]",['Twitter Web App'],0,0,17,55,605,[],[],PODEMOS,mención
877,77,christian9516,2021-04-17 11:03:47+00:00,1383375631790997510,@javyperezcob Aparte del odio sin razón a Podemos y a sus líderes más representativos que ronda el acoso o delito por cualquier cosa que dicen o hacen.Ya podían acosar así al PSOE porque no es ni medio normal. No hay día que no haya TT en Twitter poniendoles a parir.,"[14, 267]",['Twitter for Android'],0,0,23,75,2859,[],[],PODEMOS,mención
878,78,Gustavo Ugarte,2021-04-17 11:03:45+00:00,1383375622798331909,"@inurrieta Pues parece q es así,pero porque? Por presión de los poderes económicos de Madrid? Porque el PSOE no quiere ganar en Madrid?","[11, 135]",['Twitter for iPad'],0,0,347,993,98605,[],[],PODEMOS,mención
879,79,Galia,2021-04-17 11:03:42+00:00,1383375614367834114,No digo todos que también muchos candidatos de psoe-podemos tienen perfiles profesionales bajos.,"[0, 96]",['Twitter for Android'],0,0,968,426,15343,[],[],PODEMOS,mención
880,80,alfred,2021-04-17 11:03:35+00:00,1383375583636193288,"@lupacal @rosadiezglez @PSOE @PODEMOS @MasMadridCM ¿Lo de que suban los impuestos a los más ricos incluye a Iglesias, Monedero, Wyoming...? ¿O esos están exentos?","[51, 162]",['Twitter Web App'],0,0,74,49,4312,[],[],PODEMOS,mención
881,81,canarin,2021-04-17 11:03:34+00:00,1383375579676778504,"@AnaCarvajaljim1 Y si te metes en Facebook en los grupos de apoyo a Ayuso, o al PP, los encuentras a docenas,luego te vas a sus perfiles y ves que son,aparte de tontos,de Podemos","[17, 178]",['Twitter for Android'],0,0,61,58,328,[],[],PODEMOS,mención
882,82,🖊️ José Antonio Serrano,2021-04-17 11:03:34+00:00,1383375577634148360,"El PSOE votará en contra de la Medalla de Honor a Botella porque es alguien ""indigno"" y ""la peor alcaldesa de Madrid"" 
https://t.co/zQdIgCcrZ6 a través de @epmadrid","[0, 164]",['Twitter Web App'],0,1,924,492,184441,[],"[{'url': 'https://t.co/zQdIgCcrZ6', 'expanded_url': 'https://www.europapress.es/madrid/noticia-psoe-votara-contra-medalla-honor-botella-porque-alguien-indigno-peor-alcaldesa-madrid-20210417100622.html', 'display_url': 'europapress.es/madrid/noticia…', 'indices': [119, 142]}]",PODEMOS,mención
883,83,As Termas Centro Comercial,2021-04-17 11:03:30+00:00,1383375561448333320,"¡Nuestro @CineYelmo amplía su horario el fin de semana! 🍿
De viernes a domingo, podemos disfrutar del mejor cine hasta las 22.30 h. 🎥🎬 
Consulta la cartelera para elegir tu peli favorita. 😉
https://t.co/t8OD0mvI5B https://t.co/9m1VusD1zs","[0, 213]",['Twitter Web App'],0,0,5118,1562,15314,[],"[{'url': 'https://t.co/t8OD0mvI5B', 'expanded_url': 'https://yelmocines.es/cartelera/lugo', 'display_url': 'yelmocines.es/cartelera/lugo', 'indices': [190, 213]}]",PODEMOS,mención
884,84,Mónica Aparicio A. ➡️ #QuedateEnCasa 🏡💦🧴👏,2021-04-17 11:03:30+00:00,1383375559883849733,"#Bolivia
#BoliviaContraElCovid
🔴Bolivianos colaboremos con el #TwitazoNacional el 18 a hrs: 18:00, exigiendo vacunas💉contra #COVID19 para todos los bolivianos ya. 
Hay millones de vidas en riesgo.
No podemos esperar más.
#VacunasYaParaTodos
Si TE GUSTA❤️ 
Si ESTAS DE ACUERDO🔄 https://t.co/P3fqhbRwUE https://t.co/7WxK0lmEs8","[0, 300]",['Twitter Web App'],3,3,8576,4136,110175,"[{'text': 'Bolivia', 'indices': [0, 8]}, {'text': 'BoliviaContraElCovid', 'indices': [9, 30]}, {'text': 'TwitazoNacional', 'indices': [62, 78]}, {'text': 'COVID19', 'indices': [124, 132]}, {'text': 'VacunasYaParaTodos', 'indices': [221, 240]}]","[{'url': 'https://t.co/P3fqhbRwUE', 'expanded_url': 'https://twitter.com/DrReggaeton/status/1382119987423416323', 'display_url': 'twitter.com/DrReggaeton/st…', 'indices': [277, 300]}]",PODEMOS,mención
885,85,Elend Venture 🇪🇸🏳️‍🌈,2021-04-17 11:03:26+00:00,1383375545698721796,"@PODEMOS @PabloIglesias Las médicas (palabra que hace referencia a las patologías médicas y no a la profesión) y los enfermeros (poniendo en masculino lo que consideran secundario como sino fuera y son eseciales) esto es podemos, puro veneno, clasismo y fachada de falso progresismo.","[24, 283]",['Twitter for iPhone'],0,0,52,134,1517,[],[],PODEMOS,mención
886,86,Ángel González 🏳️‍⚧️ 🌻#HabráLeyTrans 💪🏻,2021-04-17 11:03:25+00:00,1383375539151409155,Baia baia. ¿El @PSOE tiene algo que decir? https://t.co/y5bxo9JOmL,"[0, 42]",['Twitter for Android'],0,1,1432,986,86970,[],"[{'url': 'https://t.co/y5bxo9JOmL', 'expanded_url': 'https://twitter.com/Newtral/status/1383288854107418624', 'display_url': 'twitter.com/Newtral/status…', 'indices': [43, 66]}]",PODEMOS,mención
887,87,⁷•Mஜ• Inactiva x adulta🌸,2021-04-17 11:03:21+00:00,1383375522479054849,@Taeftsofi Si podemos si podemos https://t.co/SCL4FRM9ng,"[11, 32]",['Twitter for Android'],0,0,1334,1454,20470,[],[],PODEMOS,mención
888,88,BrainOn🇪🇸🇪🇸🇪🇸 TEST TEST TEST✝,2021-04-17 11:03:18+00:00,1383375511565467650,Piensas que el PP va a pactar con el PSOE y UP en las elecciones del 4M en Madrid?,"[0, 82]",['Twitter Web App'],1,0,4324,4988,20007,[],[],PODEMOS,mención
889,89,Carlito,2021-04-17 11:03:11+00:00,1383375481345482753,"@ZetaOrlando @justinianoguill Son los dueños de molinos rio , hay q sacar un listado de los productos q vende , para saber cuales no hay q comprar .
Podemos ser varios millones los q dejamos de comprar sus productos .","[30, 217]",['Twitter for Android'],0,0,262,605,2273,[],[],PODEMOS,mención
890,90,cuando para el autobus?,2021-04-17 11:03:05+00:00,1383375458343940105,"@pheloponeso @equipoGabilondo @NadiaCalvino @populares @PODEMOS @ierrejon @CiudadanosCs Touché o a la española, tucheeee 🤣","[88, 122]",['Twitter for iPhone'],0,0,55,222,1485,[],[],PODEMOS,mención
891,91,hunter (misha),2021-04-17 11:03:05+00:00,1383375455466655746,le he dicho a mi madre oye a ver si podemos comer pronto y así no me tengo que vestir peinar y maquillar en una hora. pero me parece que me ha hecho next,"[0, 153]",['Twitter Web App'],0,0,111,557,72231,[],[],PODEMOS,mención
892,92,Janse Fernández,2021-04-17 11:03:03+00:00,1383375448353038339,"@Fabian10_ El PSOE se parece cada vez más al régimen Venezolano: Absurdo y creador de Miseria, lo veremos, lo vamos a pasar muy mal en España","[11, 141]",['Twitter Web App'],0,0,284,541,115307,[],[],PODEMOS,mención
893,93,Sindo Lindo🛰️,2021-04-17 11:03:03+00:00,1383375446612447236,"@Paclain2 @electoportaleu 2 para el primero ( PP) 
2 para el segundo ( PSOE)
Uno para el tercero, uno para el cuarto y otro para el quinto! 
Vox y PP ( 3)
PSOE, podemos y mas Madrid ( 4)","[26, 186]",['Twitter for Android'],0,0,7,34,1761,[],[],PODEMOS,mención
894,94,Menéame noticias,2021-04-17 11:03:02+00:00,1383375446033588230,"Más votada 24h: Ángel Gabilondo: ""En el PSOE estamos en contra del maltrato animal, pero respetamos la tauromaquia"" https://t.co/3pBEZH0fuv","[0, 139]",['Menéame  posts'],0,0,233967,31,273941,[],"[{'url': 'https://t.co/3pBEZH0fuv', 'expanded_url': 'http://www.meneame.net/story/angel-gabilondo-psoe-estamos-contra-maltrato-animal-pero', 'display_url': 'meneame.net/story/angel-ga…', 'indices': [116, 139]}]",PODEMOS,mención
895,95,"Juanillo #yoconpabloiglesias, Ya en ⭕️ de Podemos.",2021-04-17 11:02:58+00:00,1383375429411631107,"Salgan de sus casas, cada persona un voto.

Este 4M 

#QueHableLaMayoria voto masivo a PODEMOS.

Madrileños, recuerden que #EllosVanFijo https://t.co/ZUtilAPZwt","[0, 136]",['Twitter Web App'],0,0,855,1320,50044,"[{'text': 'QueHableLaMayoria', 'indices': [54, 72]}, {'text': 'EllosVanFijo', 'indices': [123, 136]}]","[{'url': 'https://t.co/ZUtilAPZwt', 'expanded_url': 'https://twitter.com/JulenBollain/status/1383372665176481797', 'display_url': 'twitter.com/JulenBollain/s…', 'indices': [137, 160]}]",PODEMOS,mención
896,96,Biblioteca IES LA FUENSANTA. Fuenteca.,2021-04-17 11:02:54+00:00,1383375411359326214,"Nuestro querido compañero, @Nando_Lopez_ ha respondido a los chicos y chicas de 2ºESO A del IES LA FUENSANTA. No podemos estar más contentos y agradecidos.
Gracias por tu compañía en el camino. 

https://t.co/5sXDeZW5aN","[0, 219]",['Twitter Web App'],1,1,53,74,108,[],"[{'url': 'https://t.co/5sXDeZW5aN', 'expanded_url': 'https://leerenlafuensanta.blogspot.com/', 'display_url': 'leerenlafuensanta.blogspot.com', 'indices': [196, 219]}]",PODEMOS,mención
897,97,Pablo Beltrán-Pellicer 🧮🍏,2021-04-17 11:02:53+00:00,1383375407139852290,"@p_trivino Simplemente digo que no basta. Cid, Gairín y Escolano fueron profesores de secundaria antes que profesores de didáctica. Y cada uno se entregó a investigar sobre aspectos específicos. Claro que podemos hacer avances individuales, pero señalo que es imprescindible ese algo más.","[11, 288]",['Twitter for Android'],0,0,6360,2224,19576,[],[],PODEMOS,mención
898,98,Quilmes Silvia,2021-04-17 11:02:52+00:00,1383375402333208581,"Muy triste 

Aquí podemos parar la pelota ya.
Y pensar el siguiente paso. 
Confío en mi pueblo. 
En su empatía al otro.
Cuidensen. 
Los médicos están agotados. 
Cuidemos los. 
Nos cuidamos entre todos 
#CuidarteEsCuidarnos https://t.co/dUUArWgHS0","[0, 222]",['Twitter for Android'],0,0,1781,1892,34794,"[{'text': 'CuidarteEsCuidarnos', 'indices': [202, 222]}]","[{'url': 'https://t.co/dUUArWgHS0', 'expanded_url': 'https://twitter.com/MarKosBeraza/status/1383366488556326912', 'display_url': 'twitter.com/MarKosBeraza/s…', 'indices': [223, 246]}]",PODEMOS,mención
899,99,Oscar Mendoza,2021-04-17 11:02:47+00:00,1383375380447305728,"@PSOE @equipoGabilondo Ifema convertido en hospital en tiempo récord . Construcción Hospital de Pandemias Zendal. 
Mientras tanto , el PSOE rescata aerolíneas venezolanas y derrocha millones de € en compras defectuosas y tickets de Mercadona para la Sra. Calvo","[23, 260]",['Twitter for iPhone'],0,0,17,242,10684,[],[],PODEMOS,mención
900,0,ALBERTO 🇪🇸,2021-04-17 11:07:07+00:00,1383376471863939073,@madrid_vox @Macarena_Olona Allí estuve!! Eso si que son dos mujeres con mayúsculas.,"[28, 84]",['Twitter for Android'],0,0,1859,3814,4896,[],[],Vox,mención
901,1,Jordi Meneses,2021-04-17 11:07:04+00:00,1383376458500829188,"Y de esto trata la política en general, gente pudiente, que conocen a otra gente, se enchufan en un partido y viven del cuento, de la independencia...etc...mientras nos fríen a impuestos y multas...@PSOE @PODEMOS @populares @vox_es @CiudadanosCs @JuntsXCat @EsquerraERC en fin... https://t.co/G5miR5MwbM","[0, 279]",['Twitter for Android'],0,0,48,587,2039,[],[],Vox,mención
902,2,LeoNina 🇪🇸👑💚,2021-04-17 11:07:02+00:00,1383376452637233154,"Otra represión policial en la Habana esto es el pan de cada día... 🇪🇸🇨🇺🇪🇸🇨🇺
VIDEO.
Queréis que nuestro país se convierta en cuba??? Si es no!! Tenéis que votar a VOX
Votar a vox es votar libertad
@monasterioR
@Santi_ABASCAL
#PrimeroVox
#SoloQuedaVox https://t.co/gqYhX9pF4f","[0, 273]",['Twitter for Android'],0,0,1028,1180,1244,"[{'text': 'PrimeroVox', 'indices': [224, 235]}, {'text': 'SoloQuedaVox', 'indices': [236, 249]}]","[{'url': 'https://t.co/gqYhX9pF4f', 'expanded_url': 'https://youtu.be/EegF5_rlDTI', 'display_url': 'youtu.be/EegF5_rlDTI', 'indices': [250, 273]}]",Vox,mención
903,3,SpanishKhan🔻✊💜🌹🇵🇸🇪🇺,2021-04-17 11:06:59+00:00,1383376439584514048,"@InesArrimadas El plan mecuida, la equiparación de permisos de maternidad y paternidad, el registro salarial y plan de cuidador@s publicos. Medidas concretas que han hecho ministras de Podemos por la igualdad. Ridículo hacéis vosotros permitiendo que Vox os marque la agenda","[15, 274]",['Twitter for Android'],0,0,126,893,3820,[],[],Vox,mención
