,user.name,created_at,id,full_text,display_text_range,source,retweet_count,favorite_count,user.followers_count,user.friends_count,user.statuses_count,partido,tipo de post,hashtags,campaña
6,El hijo de Greenspan,2021-04-27 23:59:25+00:00,1387194708070371328,"@Salandlizer @jhugo1238 @AdrianzenEduard No. Los actos de terrorismo son algo completamente distinto. 
No hay nada de malo en llamar a alguien por la ideología que persigue. Decir que es terruqueo blando es despistar lo real, la idea que persigue la persona. Es confundir y dejar con la guardia baja a ciudadanos.","[41, 313]",Twitter Web App,0,0,195,690,3317,CIUDADANOS,mención,[],general
7,Adrianowall 100% #RedAMLO,2021-04-27 23:59:12+00:00,1387194650583257089,"Nos toca a los ciudadanos de sacar a @lorenzocordovav y @CiroMurayamaINE, es momento que escuchen nuestras voces y lo que realmente quiere el pueblo, #FueraLorenzoCordovaDelINE
#FueraCiroMurayamaDelINE es momento de correrlos del @INEMexico #INECorrupto https://t.co/n94NMtFNDr","[0, 253]",Twitter for Android,1,1,7185,5596,83498,CIUDADANOS,mención,"['FueraLorenzoCordovaDelINE', 'FueraCiroMurayamaDelINE', 'INECorrupto']",general
8,Ildefonso Muñoz,2021-04-27 23:59:07+00:00,1387194629116907525,@Chris_Flores_B @korno Es de ciudadanos responsables ir a votar. Por quién tú quieras. Saludos,"[23, 94]",Twitter for iPhone,0,1,13,49,3922,CIUDADANOS,mención,[],general
9,BEATRIZ RAMIREZ,2021-04-27 23:59:04+00:00,1387194618421424137,"Y si los ciudadanos no acatan la orden del  Tribunal, los promotores serán sancionados? https://t.co/UKYqPnSIMb","[0, 87]",Twitter Web App,0,0,242,303,40197,CIUDADANOS,mención,[],general
0,SolangeBlum,2021-04-27 23:59:59+00:00,1387194849892442117,Señores @CNEL_EP es la segunda vez en menos de media hora que se va la luz en el norte de Guayaquil... Así no podemos trabajar!!,"[0, 128]",Twitter for iPhone,0,0,279,812,3916,PODEMOS,mención,[],general
1,Alberto Castro  ,2021-04-27 23:59:58+00:00,1387194845031276544,"@JohnCsar8 @VertizPamela Que podemos esperar de un IGNORANTE de Pedro Castillo, por más profesor que sea no conoce NADA de economía,  salud y educación, quiere cerrar todo !!!, nos vamos a la ruina con este señor, sólo queda votar por Keiko para seguir con nuestra libertad social y económica !!!!","[25, 297]",Twitter for Android,0,4,20,41,378,PODEMOS,mención,[],general
2,RED,2021-04-27 23:59:56+00:00,1387194835724115972,"@Aldoro Ya es hora que le metamos fuego a este país... No podemos seguir aguantando.

Pueblo más culero.","[8, 104]",Twitter for Android,0,0,4,74,1645,PODEMOS,mención,[],general
3,Alejandra Silva,2021-04-27 23:59:52+00:00,1387194818560937985,@pacojeanII Ahuevu. Primero podemos comer frutas para agarrar juerzas para ganar.,"[12, 81]",Twitter for Android,0,1,283,369,2070,PODEMOS,mención,[],general
4,Juan Zambrano,2021-04-27 23:59:51+00:00,1387194815000072193,"@AnitaMGalarzaA Hasta que punto puede realmente ser una violación ?también hay jóvenes , adolecentes e incluso niñas , que a pesar de estar informadas cometen sus faltas , eso podemos ver ahora en bailes , fiestas y de más eventos en los que como si fueran poseídas bailan perreo , son o no victi","[16, 296]",Twitter for Android,0,0,400,1846,22256,PODEMOS,mención,[],general
5,Olympus,2021-04-27 23:59:50+00:00,1387194812768587783,@CecyDavila1 @DeisyIrigoitia Y podemos organizar algo,"[29, 53]",Twitter for Android,0,0,3,36,19,PODEMOS,mención,[],general
6,CGE Clientes,2021-04-27 23:59:50+00:00,1387194812504309761,"@bustamantegmag1 Verificando la información por sistema, podemos indicar que existe una falla reportada,  con una hora estimada de solución para las 22:00 horas. Pero recuerda que puede verse modificada según sea la complejidad del percance. Te atendió Gabriel.","[17, 261]",PureSocial CX,0,0,171036,44351,327286,PODEMOS,mención,[],general
7,𝑪𝒐𝒓𝒊🦋🤟🏻,2021-04-27 23:59:48+00:00,1387194801368481796,"@NatiNatilya Bueno, así nos daremos un súper abrazo de oso
Ya nos podemos ir a descansar
Descansa, nonita y ten un bonito día mañana 
#LoveIsInTheAir27A","[13, 152]",Twitter for Android,1,1,476,954,77031,PODEMOS,mención,['LoveIsInTheAir27A'],general
8,Dafne Ayala,2021-04-27 23:59:47+00:00,1387194800550653953,"@SacmexCDMX no está actuando a los reportes CONSTANTES, fuga de agua POTABLE, aunque nosotros, los vecinos del edificio podemos arreglarla trayendo a un plomero, NO PODEMOS porque quitar los sellos implica una multa de $60,000. @AlcaldiaMHmx @vromog @mauriciotabe @Claudiashein","[0, 277]",Twitter Web App,0,0,36,16,36,PODEMOS,mención,[],general
9,Roberto M.,2021-04-27 23:59:47+00:00,1387194798331908100,@CiudadanosCs @BalEdmundo #FijezaYa a tod@s trabajador@s públicos en abuso. Lucharemos hasta conseguir lo que es justo y legal.Directiva 1999/70/CE y sentencia TJUE 19 marzo 2020.Tod@s junt@s hasta el final.#InspeccionYa @PSOE @PODEMOS @miqueliceta @sanchezcastejon @CiudadanosCs #FijezaYaEsConstitucional https://t.co/ydI21fFAAU,"[26, 305]",Twitter for Android,30,22,150,10,10151,PODEMOS,mención,"['FijezaYa', 'InspeccionYa', 'FijezaYaEsConstitucional']",general
0,Raúl Lazaro,2021-04-27 23:59:37+00:00,1387194755826728962,"@ValencianistaGO @monasterioR @IdiazAyuso @vox_es Tu no estuviste por allí no?yo si, simplemente con leer tu mensaje se me revuelven las tripas,que basura de mentalidad.","[50, 169]",Twitter for Android,0,1,6,25,140,VOX,mención,[],general
1,El último Templario,2021-04-27 23:59:33+00:00,1387194738802139139,El Gobierno exige un cordón Sanitario a Vox y yo me pregunto @Santi_ABASCAL qué esperas hacer?? REACCIONA o estos Criminales te comen,"[0, 133]",Twitter for Android,27,83,9972,9110,56738,VOX,mención,[],general
2,Josema Pérez,2021-04-27 23:59:24+00:00,1387194701913239552,"@ubiernaubi @policia @guardiacivil @vox_es @Macarena_Olona @Santi_ABASCAL @IdiazAyuso Si tanto cuestionas lo que va a ocurrir puedes presentarte como apoderado en cualquiera de los colegios, pedir el acta a todas las mesas, compararlo con el resultado del colegio cuando se publique y ver que no cambia una décima.

Lo digo porque yo ya he sido presidente de mesa.","[86, 364]",Twitter for Android,0,0,1007,267,32851,VOX,mención,[],general
3,Paloma Aguado,2021-04-27 23:59:16+00:00,1387194667477966853,"@OrbitaEduardo @Greenheart181 @Correos Lo que tengo muy claro, es que cuando vaya a votar cojo la papeleta del colegio electoral, delante de todo el mundo Escribiendla  cono  si fuera una pancarta.. VOX MADRID","[39, 209]",Twitter for iPhone,8,27,8488,7153,21397,VOX,mención,[],general
4,☀️ PaulaMIX 💜,2021-04-27 23:59:10+00:00,1387194644564529164,"@DBofetadas dilo sin llorar, al final sois mas de lo mismo que el pp cs vox y mismos insultos. https://t.co/BfLT1UFiHM","[12, 94]",Twitter Web App,0,0,1996,4987,16124,VOX,mención,[],general
5,Pepevi Fayos,2021-04-27 23:59:02+00:00,1387194611848843268,Vox explica cómo reduciría los impuestos para mejorar la economía nacional https://t.co/jI0qILWln5 a través de @YouTube,"[0, 119]",Twitter Web App,0,0,793,930,28811,VOX,mención,[],general
6,Woodpecker Campeador,2021-04-27 23:58:51+00:00,1387194565371781123,"@TheNewErrico @monasterioR @IdiazAyuso @vox_es Te la has comido doblada, triangulitos 😂😂😂😂😂 hay que ser bobo","[47, 108]",Twitter for iPhone,0,0,1047,444,78001,VOX,mención,[],general
